| tgname                        | tgtype | pg_get_triggerdef                                                                                                                                                                                              |
| RI_ConstraintTrigger_a_16764  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16764" AFTER UPDATE ON auth.users FROM auth.sessions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()               |
| RI_ConstraintTrigger_a_16799  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16799" AFTER DELETE ON auth.users FROM auth.mfa_factors NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()             |
| RI_ConstraintTrigger_a_16800  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16800" AFTER UPDATE ON auth.users FROM auth.mfa_factors NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()            |
| RI_ConstraintTrigger_a_16990  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16990" AFTER DELETE ON auth.users FROM auth.one_time_tokens NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()         |
| RI_ConstraintTrigger_a_16991  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16991" AFTER UPDATE ON auth.users FROM auth.one_time_tokens NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()        |
| RI_ConstraintTrigger_a_17069  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_17069" AFTER DELETE ON auth.users FROM auth.oauth_authorizations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()    |
| RI_ConstraintTrigger_a_17070  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_17070" AFTER UPDATE ON auth.users FROM auth.oauth_authorizations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()   |
| RI_ConstraintTrigger_a_17088  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_17088" AFTER DELETE ON auth.users FROM auth.oauth_consents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()          |
| RI_ConstraintTrigger_a_17089  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_17089" AFTER UPDATE ON auth.users FROM auth.oauth_consents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()         |
| RI_ConstraintTrigger_a_18362  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_18362" AFTER DELETE ON auth.users FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()                     |
| RI_ConstraintTrigger_a_18363  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_18363" AFTER UPDATE ON auth.users FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                    |
| RI_ConstraintTrigger_a_28372  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28372" AFTER DELETE ON auth.users FROM team_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()                 |
| RI_ConstraintTrigger_a_28373  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28373" AFTER UPDATE ON auth.users FROM team_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                |
| RI_ConstraintTrigger_a_28456  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28456" AFTER DELETE ON auth.users FROM key_exchanges NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()               |
| RI_ConstraintTrigger_a_28457  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28457" AFTER UPDATE ON auth.users FROM key_exchanges NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()               |
| RI_ConstraintTrigger_a_28534  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28534" AFTER DELETE ON auth.users FROM inspection_reports NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()          |
| RI_ConstraintTrigger_a_28535  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28535" AFTER UPDATE ON auth.users FROM inspection_reports NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()          |
| RI_ConstraintTrigger_a_28571  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28571" AFTER DELETE ON auth.users FROM provider_performance NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()         |
| RI_ConstraintTrigger_a_28572  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28572" AFTER UPDATE ON auth.users FROM provider_performance NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()        |
| RI_ConstraintTrigger_a_28913  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28913" AFTER DELETE ON auth.users FROM transport_tasks NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()             |
| RI_ConstraintTrigger_a_28914  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28914" AFTER UPDATE ON auth.users FROM transport_tasks NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()             |
| RI_ConstraintTrigger_a_28941  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28941" AFTER DELETE ON auth.users FROM fleet_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()                |
| RI_ConstraintTrigger_a_28942  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28942" AFTER UPDATE ON auth.users FROM fleet_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()               |
| RI_ConstraintTrigger_a_28968  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28968" AFTER DELETE ON auth.users FROM fleet_vehicle_assignments NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()   |
| RI_ConstraintTrigger_a_28969  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28969" AFTER UPDATE ON auth.users FROM fleet_vehicle_assignments NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()   |
| RI_ConstraintTrigger_a_28991  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28991" AFTER DELETE ON auth.users FROM bulk_service_batches NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()        |
| RI_ConstraintTrigger_a_28992  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28992" AFTER UPDATE ON auth.users FROM bulk_service_batches NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()        |
| RI_ConstraintTrigger_a_28996  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28996" AFTER DELETE ON auth.users FROM bulk_service_batches NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()        |
| RI_ConstraintTrigger_a_28997  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_28997" AFTER UPDATE ON auth.users FROM bulk_service_batches NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()        |
| RI_ConstraintTrigger_a_29037  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29037" AFTER DELETE ON auth.users FROM households NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()                   |
| RI_ConstraintTrigger_a_29038  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29038" AFTER UPDATE ON auth.users FROM households NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                  |
| RI_ConstraintTrigger_a_29064  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29064" AFTER DELETE ON auth.users FROM household_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()            |
| RI_ConstraintTrigger_a_29065  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29065" AFTER UPDATE ON auth.users FROM household_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()           |
| RI_ConstraintTrigger_a_29069  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29069" AFTER DELETE ON auth.users FROM household_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()           |
| RI_ConstraintTrigger_a_29070  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29070" AFTER UPDATE ON auth.users FROM household_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()           |
| RI_ConstraintTrigger_a_29097  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29097" AFTER DELETE ON auth.users FROM household_vehicle_access NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()    |
| RI_ConstraintTrigger_a_29098  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29098" AFTER UPDATE ON auth.users FROM household_vehicle_access NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()    |
| RI_ConstraintTrigger_a_33938  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_33938" AFTER DELETE ON auth.users FROM member_founder_profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()      |
| RI_ConstraintTrigger_a_33939  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_33939" AFTER UPDATE ON auth.users FROM member_founder_profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()     |
| RI_ConstraintTrigger_a_33960  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_33960" AFTER DELETE ON auth.users FROM founder_referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()            |
| RI_ConstraintTrigger_a_33961  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_33961" AFTER UPDATE ON auth.users FROM founder_referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()           |
| RI_ConstraintTrigger_a_34009  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_34009" AFTER DELETE ON auth.users FROM founder_payouts NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()             |
| RI_ConstraintTrigger_a_34010  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_34010" AFTER UPDATE ON auth.users FROM founder_payouts NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()             |
| RI_ConstraintTrigger_a_39418  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_39418" AFTER DELETE ON auth.users FROM corrective_action_responses NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"() |
| RI_ConstraintTrigger_a_39419  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_39419" AFTER UPDATE ON auth.users FROM corrective_action_responses NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"() |
| RI_ConstraintTrigger_a_71574  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71574" AFTER DELETE ON auth.users FROM vehicle_evaluations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()          |
| RI_ConstraintTrigger_a_71575  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71575" AFTER UPDATE ON auth.users FROM vehicle_evaluations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()         |
| RI_ConstraintTrigger_a_71620  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71620" AFTER DELETE ON auth.users FROM evaluation_bids NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()              |
| RI_ConstraintTrigger_a_71621  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71621" AFTER UPDATE ON auth.users FROM evaluation_bids NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()             |
| RI_ConstraintTrigger_a_71662  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71662" AFTER DELETE ON auth.users FROM dealerships NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()                  |
| RI_ConstraintTrigger_a_71663  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71663" AFTER UPDATE ON auth.users FROM dealerships NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                 |
| RI_ConstraintTrigger_a_71667  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71667" AFTER DELETE ON auth.users FROM dealerships NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()                 |
| RI_ConstraintTrigger_a_71668  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71668" AFTER UPDATE ON auth.users FROM dealerships NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                 |
| RI_ConstraintTrigger_a_71693  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71693" AFTER DELETE ON auth.users FROM dealership_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()           |
| RI_ConstraintTrigger_a_71694  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71694" AFTER UPDATE ON auth.users FROM dealership_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()          |
| RI_ConstraintTrigger_a_71698  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71698" AFTER DELETE ON auth.users FROM dealership_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()          |
| RI_ConstraintTrigger_a_71699  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71699" AFTER UPDATE ON auth.users FROM dealership_members NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()          |
| RI_ConstraintTrigger_a_71718  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71718" AFTER DELETE ON auth.users FROM dealership_credit_ledger NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()    |
| RI_ConstraintTrigger_a_71719  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71719" AFTER UPDATE ON auth.users FROM dealership_credit_ledger NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()    |
| RI_ConstraintTrigger_a_71741  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71741" AFTER DELETE ON auth.users FROM dealership_invites NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()          |
| RI_ConstraintTrigger_a_71742  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_71742" AFTER UPDATE ON auth.users FROM dealership_invites NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()          |
| RI_ConstraintTrigger_a_77811  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_77811" AFTER DELETE ON auth.users FROM two_factor_rate_limits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()       |
| RI_ConstraintTrigger_a_77812  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_77812" AFTER UPDATE ON auth.users FROM two_factor_rate_limits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()      |
| RI_ConstraintTrigger_a_79087  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_79087" AFTER DELETE ON auth.users FROM prospect_vehicles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()            |
| RI_ConstraintTrigger_a_79088  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_79088" AFTER UPDATE ON auth.users FROM prospect_vehicles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()           |
| RI_ConstraintTrigger_a_79109  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_79109" AFTER DELETE ON auth.users FROM member_car_preferences NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()       |
| RI_ConstraintTrigger_a_79110  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_79110" AFTER UPDATE ON auth.users FROM member_car_preferences NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()      |
| RI_ConstraintTrigger_a_79148  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_79148" AFTER DELETE ON auth.users FROM identity_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()       |
| RI_ConstraintTrigger_a_79149  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_79149" AFTER UPDATE ON auth.users FROM identity_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()      |
| RI_ConstraintTrigger_a_80400  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80400" AFTER DELETE ON auth.users FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()                    |
| RI_ConstraintTrigger_a_80401  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80401" AFTER UPDATE ON auth.users FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                   |
| RI_ConstraintTrigger_a_80405  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80405" AFTER DELETE ON auth.users FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()                    |
| RI_ConstraintTrigger_a_80406  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80406" AFTER UPDATE ON auth.users FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()                   |
| RI_ConstraintTrigger_a_80419  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80419" AFTER DELETE ON auth.users FROM member_credits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()               |
| RI_ConstraintTrigger_a_80420  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80420" AFTER UPDATE ON auth.users FROM member_credits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()              |
| RI_ConstraintTrigger_a_80542  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80542" AFTER DELETE ON auth.users FROM login_activity NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()               |
| RI_ConstraintTrigger_a_80543  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_80543" AFTER UPDATE ON auth.users FROM login_activity NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()              |
| RI_ConstraintTrigger_a_81708  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_81708" AFTER DELETE ON auth.users FROM registration_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()   |
| RI_ConstraintTrigger_a_81709  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_81709" AFTER UPDATE ON auth.users FROM registration_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()  |
| RI_ConstraintTrigger_a_81718  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_81718" AFTER DELETE ON auth.users FROM registration_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_del"()  |
| RI_ConstraintTrigger_a_81719  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_81719" AFTER UPDATE ON auth.users FROM registration_verifications NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()  |
| RI_ConstraintTrigger_a_82871  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_82871" AFTER DELETE ON auth.users FROM dream_car_searches NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()           |
| RI_ConstraintTrigger_a_82872  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_82872" AFTER UPDATE ON auth.users FROM dream_car_searches NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()          |
